seed_id,source_name,source_type,url,why_selected,expected_pain_category,expected_evidence_role,selection_note
SEED_001,www.tradingview.com,official_doc,https://www.tradingview.com/pine-script-docs/concepts/repainting/,Automated crawler found keyword evidence for repainting_or_lookahead.,repainting_or_lookahead,Technical validity evidence,"Public, non-login source used to build conservative directional evidence."
SEED_002,www.tradingview.com,official_doc,https://www.tradingview.com/pine-script-docs/concepts/strategies/,Automated crawler found keyword evidence for backtest_realism.,backtest_realism,Technical validity evidence,"Public, non-login source used to build conservative directional evidence."
SEED_003,www.tradingview.com,official_doc,https://www.tradingview.com/pine-script-docs/concepts/other-timeframes-and-data/,Automated crawler found keyword evidence for repainting_or_lookahead.,repainting_or_lookahead,Technical validity evidence,"Public, non-login source used to build conservative directional evidence."
SEED_004,www.tradingview.com,official_doc,https://www.tradingview.com/support/solutions/43000529348-how-to-configure-webhook-alerts/,Automated crawler found keyword evidence for alert_or_webhook_workflow.,alert_or_webhook_workflow,Technical validity evidence,"Public, non-login source used to build conservative directional evidence."
SEED_005,www.tradingview.com,official_doc,https://www.tradingview.com/support/solutions/43000520149-introduction-to-tradingview-alerts/,Automated crawler found keyword evidence for alert_or_webhook_workflow.,alert_or_webhook_workflow,Technical validity evidence,"Public, non-login source used to build conservative directional evidence."
SEED_006,www.tradingview.com,official_doc,https://www.tradingview.com/support/solutions/43000690941-how-to-get-more-active-alerts-per-subscription/,Automated crawler found keyword evidence for alert_or_webhook_workflow.,alert_or_webhook_workflow,Technical validity evidence,"Public, non-login source used to build conservative directional evidence."
SEED_007,www.tradingview.com,official_doc,https://www.tradingview.com/support/solutions/43000742436-tradingview-pine-screener-key-features-and-requirements/,Automated crawler found keyword evidence for alert_or_webhook_workflow.,alert_or_webhook_workflow,Technical validity evidence,"Public, non-login source used to build conservative directional evidence."
SEED_008,www.tradingview.com,pricing,https://www.tradingview.com/pricing/,Automated crawler found keyword evidence for alert_or_webhook_workflow.,alert_or_webhook_workflow,WTP benchmark evidence,"Public, non-login source used to build conservative directional evidence."
SEED_009,www.tradingview.com,marketplace_listing,https://www.tradingview.com/scripts/non-repaint/,Automated crawler found keyword evidence for repainting_or_lookahead.,repainting_or_lookahead,Demand proxy,"Public, non-login source used to build conservative directional evidence."
SEED_010,www.tradingview.com,marketplace_listing,https://www.tradingview.com/scripts/backtest/,Automated crawler found keyword evidence for backtest_realism.,backtest_realism,Demand proxy,"Public, non-login source used to build conservative directional evidence."
SEED_011,www.tradingview.com,marketplace_listing,https://www.tradingview.com/scripts/webhook/,Automated crawler found keyword evidence for alert_or_webhook_workflow.,alert_or_webhook_workflow,Demand proxy,"Public, non-login source used to build conservative directional evidence."
SEED_012,www.tradingview.com,marketplace_listing,https://www.tradingview.com/scripts/strategy/,Automated crawler found keyword evidence for alert_or_webhook_workflow.,alert_or_webhook_workflow,Demand proxy,"Public, non-login source used to build conservative directional evidence."
SEED_013,www.tradingview.com,marketplace_listing,https://www.tradingview.com/scripts/pinescript/,Automated crawler found keyword evidence for alert_or_webhook_workflow.,alert_or_webhook_workflow,Demand proxy,"Public, non-login source used to build conservative directional evidence."
SEED_014,www.buildalpha.com,competitor,https://www.buildalpha.com/tradingview-strategy-generator/,Automated crawler found keyword evidence for no_code_or_template_need.,no_code_or_template_need,Adjacent-market benchmark,"Public, non-login source used to build conservative directional evidence."
SEED_015,trendspider.com,competitor,https://trendspider.com/product/strategy-development-and-backtesting-tools/,Automated crawler found keyword evidence for backtest_realism.,backtest_realism,Adjacent-market benchmark,"Public, non-login source used to build conservative directional evidence."
SEED_016,webhooktrade.com,competitor,https://webhooktrade.com/,Automated crawler found keyword evidence for alert_or_webhook_workflow.,alert_or_webhook_workflow,Adjacent-market benchmark,"Public, non-login source used to build conservative directional evidence."
SEED_017,quantpedia.com,competitor,https://quantpedia.com/,Automated crawler found keyword evidence for paid_indicator_trust.,paid_indicator_trust,Adjacent-market benchmark,"Public, non-login source used to build conservative directional evidence."
SEED_018,www.botjockie.com,competitor_or_service,https://www.botjockie.com/services.html,Automated crawler found keyword evidence for alert_or_webhook_workflow.,alert_or_webhook_workflow,Adjacent-market benchmark,"Public, non-login source used to build conservative directional evidence."
SEED_019,pineify.app,competitor,https://pineify.app/,Supports a willingness-to-pay proxy for lower-friction Pine strategy creation tools,no_code_or_template_need,Adjacent-market benchmark,"Public, non-login source used to build conservative directional evidence."
SEED_020,traderspost.io,competitor,https://traderspost.io/signals/tradingview,Shows that TradingView alerts already support paid downstream workflow products,alert_or_webhook_workflow,Adjacent-market benchmark,"Public, non-login source used to build conservative directional evidence."
SEED_021,pineconnector.com,competitor,https://pineconnector.com/,Supports the claim that alert automation is commercially relevant,alert_or_webhook_workflow,Adjacent-market benchmark,"Public, non-login source used to build conservative directional evidence."
